num,sup.help,sup.under,sup.safe,sup.conc,adv.comp,adv.acces,adv.comm,adv.qual,tut.prof,tut.sched,tut.stud,tut.qual,val.devel,val.deci,val.meet,val.info,sat.glad,sat.expe,sat.over,loy.proud,loy.recom,loy.asha,loy.back,gender,scholarships,job
41,6,1,7,3,7,7,5,6,6,5,7,6,4,5,6,7,7,7,7,7,7,1,5,female,no_scholship,yes_job
42,7,5,4,5,7,7,7,7,4,5,4,5,7,6,5,5,7,5,6,7,7,2,6,male,no_scholship,no_job
43,6,3,6,5,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,1,7,male,yes_scholship,yes_job
44,6,1,6,6,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7,7,7,1,7,female,no_scholship,no_job
45,7,1,6,7,7,7,7,7,7,4,7,7,6,7,6,7,7,7,7,7,7,1,7,male,yes_scholship,yes_job
46,5,2,6,6,6,6,6,6,4,4,4,4,5,5,5,6,7,5,7,7,7,1,7,female,yes_scholship,no_job
47,5,3,4,3,5,6,5,5,5,5,5,5,5,4,6,6,7,6,6,6,6,3,6,female,no_scholship,no_job
48,4,1,4,3,6,7,7,7,7,4,4,6,4,4,4,4,7,6,6,7,7,1,7,female,no_scholship,no_job
49,7,1,7,7,7,7,7,7,5,7,5,5,7,7,7,7,7,6,7,7,7,3,7,female,no_scholship,yes_job
50,7,1,7,7,6,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,1,7,male,yes_scholship,no_job
51,7,1,4,4,7,7,7,7,4,4,4,4,4,4,6,6,7,7,7,7,7,1,7,male,no_scholship,yes_job
52,6,5,5,4,6,7,6,6,5,6,7,6,6,6,7,7,7,7,6,7,6,1,7,male,no_scholship,no_job
53,7,1,6,6,7,7,7,7,5,3,5,5,6,6,7,7,7,7,7,7,7,1,7,male,no_scholship,yes_job
54,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,female,yes_scholship,no_job
55,5,4,4,5,6,5,6,6,6,4,5,6,5,5,4,6,7,6,5,6,7,1,5,female,no_scholship,yes_job
56,6,1,6,4,7,7,7,7,6,7,6,7,6,5,6,6,7,7,7,7,7,1,7,male,yes_scholship,no_job
57,4,3,4,4,5,7,6,6,5,3,6,7,3,3,4,6,5,5,5,5,6,1,7,female,no_scholship,yes_job
58,5,6,3,5,6,5,5,6,6,7,5,6,6,5,5,6,7,6,6,7,6,1,6,male,no_scholship,no_job
59,5,1,4,3,7,7,7,7,5,5,4,5,5,7,5,7,7,7,7,7,7,1,5,female,yes_scholship,no_job
60,7,1,4,7,7,7,7,7,7,5,5,7,6,7,7,7,7,7,7,7,6,1,7,female,yes_scholship,yes_job
61,7,7,7,4,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,1,7,female,yes_scholship,yes_job
62,6,4,4,6,5,6,7,7,5,5,5,5,6,6,6,6,6,5,6,7,7,2,6,male,yes_scholship,yes_job
63,7,1,2,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,1,7,female,yes_scholship,yes_job
64,7,3,6,7,7,7,7,7,7,7,7,7,6,6,5,7,7,6,7,7,7,1,7,female,no_scholship,yes_job
65,7,1,6,6,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,1,7,female,yes_scholship,yes_job
66,7,2,5,5,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,1,7,male,yes_scholship,no_job
67,7,1,6,6,7,7,7,7,7,6,7,7,7,6,6,7,7,7,7,6,7,2,7,male,no_scholship,yes_job
68,7,1,7,3,7,7,7,7,7,7,7,7,3,3,5,7,7,7,7,7,7,1,7,female,yes_scholship,yes_job
69,7,1,7,1,7,7,7,7,5,7,7,5,4,4,4,7,7,7,7,7,7,1,4,male,yes_scholship,yes_job
70,7,1,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,1,7,female,no_scholship,yes_job
71,4,5,3,2,6,6,5,5,6,5,5,6,3,3,4,5,6,6,6,6,6,1,6,male,no_scholship,yes_job
72,2,5,1,3,6,6,6,6,5,4,4,5,3,2,2,2,4,3,5,3,3,2,4,female,no_scholship,yes_job
73,7,1,7,7,7,7,7,7,5,4,4,4,7,7,7,7,7,7,7,7,7,1,7,female,no_scholship,no_job
74,4,5,5,4,5,4,5,5,5,5,5,5,5,5,4,5,6,5,5,5,5,3,5,male,yes_scholship,yes_job
75,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,6,5,5,6,6,2,6,male,no_scholship,no_job
76,4,3,5,5,5,5,7,6,6,6,6,5,5,5,5,5,7,7,6,6,6,1,6,female,no_scholship,yes_job
77,5,1,5,3,7,7,7,7,7,6,7,7,6,6,6,6,7,7,7,7,7,1,7,female,yes_scholship,no_job
78,6,1,4,7,7,6,6,7,6,6,5,6,4,6,5,7,7,6,6,7,7,1,7,female,yes_scholship,yes_job
79,5,6,6,6,7,6,6,7,6,6,6,6,6,6,6,6,7,6,5,7,7,1,7,female,yes_scholship,no_job
80,4,4,4,5,6,6,6,6,5,5,5,5,6,5,5,6,6,6,6,7,7,1,7,female,yes_scholship,no_job
81,5,2,6,5,6,7,6,6,6,6,6,6,6,6,6,6,7,6,6,7,7,1,7,female,yes_scholship,no_job
82,5,4,6,6,7,7,7,7,6,6,6,6,5,5,5,5,7,7,7,6,6,1,7,male,yes_scholship,yes_job
83,4,5,5,4,7,6,6,6,5,4,5,5,3,3,2,3,6,5,5,5,5,2,4,female,no_scholship,yes_job
84,5,5,5,6,6,5,5,5,6,5,3,5,7,6,6,6,7,6,6,7,7,1,7,male,no_scholship,yes_job
85,6,5,7,5,4,7,6,6,7,5,6,6,5,6,4,6,7,6,6,7,6,1,6,female,no_scholship,no_job
86,4,1,7,4,6,6,6,6,6,6,5,6,7,6,7,7,7,7,7,6,7,1,7,male,yes_scholship,no_job
87,6,1,6,6,7,6,6,7,6,6,6,7,7,6,6,6,7,7,7,7,7,1,6,female,yes_scholship,yes_job
88,4,4,4,5,7,4,7,7,4,4,4,4,4,4,3,3,7,7,7,7,6,1,5,female,yes_scholship,no_job
89,7,1,6,5,7,7,7,7,6,6,7,6,7,6,6,7,7,7,7,5,6,3,6,male,yes_scholship,no_job
90,5,1,5,7,7,7,7,7,7,4,6,6,5,5,5,5,7,7,7,6,6,1,7,female,no_scholship,no_job
91,5,1,7,7,6,6,6,6,6,7,7,7,6,6,6,7,7,7,7,7,7,1,7,female,no_scholship,yes_job
92,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,female,yes_scholship,no_job
93,7,1,4,5,7,7,7,7,7,4,6,6,6,6,6,7,7,7,7,7,7,1,7,female,no_scholship,no_job
94,7,1,7,7,7,7,7,7,6,5,5,7,7,7,7,7,7,7,6,6,7,4,7,female,no_scholship,no_job
95,6,2,7,6,7,7,7,7,4,4,2,4,7,6,5,6,7,7,7,7,7,1,6,female,yes_scholship,no_job
96,6,3,6,5,6,7,6,7,6,7,7,7,4,6,4,7,4,7,6,2,5,1,6,male,yes_scholship,no_job
97,6,4,7,3,6,6,6,5,5,6,4,6,3,3,6,6,7,7,6,7,7,1,4,female,yes_scholship,no_job
98,5,3,4,4,7,7,7,7,6,5,4,6,7,7,6,6,7,7,7,7,7,7,7,female,no_scholship,yes_job
99,5,2,4,2,6,6,6,6,5,4,6,6,6,5,6,6,7,7,7,7,7,1,6,female,yes_scholship,no_job
100,3,2,5,1,5,5,5,6,6,7,7,7,2,2,2,3,7,6,5,7,7,1,7,male,yes_scholship,no_job
101,6,2,6,6,6,6,7,6,6,6,4,6,5,5,6,7,7,6,6,7,7,1,6,female,yes_scholship,no_job
102,6,2,5,3,7,7,7,7,5,5,5,5,5,5,2,4,5,4,5,4,4,2,5,female,no_scholship,yes_job
103,3,3,6,3,6,6,7,7,4,4,5,4,6,4,6,7,7,7,7,7,7,1,7,male,yes_scholship,no_job
104,5,4,6,4,4,4,4,4,6,6,6,6,5,6,6,6,7,7,7,7,7,1,7,female,no_scholship,yes_job
105,6,1,7,4,6,6,6,7,6,6,5,6,4,4,4,6,7,7,7,7,7,1,7,female,no_scholship,yes_job
106,6,2,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,1,7,female,yes_scholship,yes_job
107,7,1,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7,7,6,1,7,female,yes_scholship,no_job
108,6,1,7,6,5,5,5,5,5,5,5,5,7,7,6,6,6,6,6,7,6,1,7,female,yes_scholship,no_job
109,5,4,5,4,6,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,6,2,7,female,no_scholship,yes_job
110,7,1,7,6,6,7,7,6,7,6,6,7,7,7,7,6,7,6,6,7,7,1,7,female,no_scholship,no_job
111,7,1,6,6,4,5,5,6,6,5,7,6,7,7,5,5,7,6,6,7,7,1,7,female,yes_scholship,yes_job
112,6,2,6,6,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,1,7,female,yes_scholship,yes_job
113,2,1,4,1,6,7,5,6,6,4,5,6,1,2,2,5,6,5,5,6,7,1,4,female,yes_scholship,yes_job
114,5,4,3,3,7,7,7,7,6,5,6,5,5,4,4,6,7,7,5,7,7,1,7,female,yes_scholship,yes_job
115,7,3,3,2,7,6,6,6,6,4,6,6,5,3,2,5,7,5,6,7,7,1,6,female,no_scholship,yes_job
116,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,male,yes_scholship,yes_job
117,7,3,2,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,female,yes_scholship,yes_job
118,7,2,7,7,6,7,7,7,6,6,7,6,7,7,7,7,7,6,7,7,7,1,7,female,yes_scholship,no_job
119,7,1,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,female,yes_scholship,no_job
120,3,2,5,6,7,7,7,7,6,6,7,7,5,4,6,6,7,6,7,7,5,1,7,male,no_scholship,yes_job
121,6,4,5,6,6,7,6,6,7,6,7,7,7,6,6,6,7,7,7,6,7,1,5,female,yes_scholship,no_job
122,7,1,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,1,7,female,yes_scholship,yes_job
123,4,5,4,2,6,5,6,6,4,4,4,4,4,5,4,5,7,5,5,7,7,1,7,female,yes_scholship,yes_job
124,7,1,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,7,1,7,male,yes_scholship,yes_job
125,7,2,7,7,6,7,7,5,5,6,6,5,7,7,7,7,7,7,6,7,7,1,6,female,no_scholship,yes_job
126,7,3,6,7,6,7,7,6,6,7,3,6,6,5,6,6,7,7,7,7,6,1,7,female,yes_scholship,yes_job
127,5,4,5,5,5,5,6,5,5,5,4,5,6,5,5,6,5,5,5,6,6,1,7,male,yes_scholship,yes_job
128,6,1,5,6,5,6,5,6,5,5,5,5,7,6,6,6,7,6,6,7,7,2,7,male,yes_scholship,no_job
129,7,1,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,1,7,female,yes_scholship,no_job
130,4,1,5,6,7,7,7,7,6,6,6,1,4,6,5,7,7,7,7,7,7,1,6,female,no_scholship,yes_job
131,4,4,5,5,6,5,5,6,4,5,4,6,5,5,5,5,7,4,6,6,6,2,6,male,no_scholship,yes_job
132,6,1,4,5,6,7,7,7,4,4,4,6,5,5,6,6,6,6,6,5,5,1,6,female,no_scholship,yes_job
133,7,1,7,7,7,7,7,7,7,6,5,7,7,7,7,7,7,7,7,7,7,1,7,male,yes_scholship,yes_job
134,7,1,7,4,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,1,6,female,yes_scholship,no_job
135,5,2,6,6,6,7,6,7,6,6,7,7,6,6,7,7,7,6,7,7,7,6,6,male,yes_scholship,yes_job
136,4,1,4,7,7,5,7,7,7,7,6,7,7,6,7,7,7,7,7,7,7,1,7,female,no_scholship,yes_job
137,7,4,5,7,7,6,7,7,7,6,6,7,5,7,6,7,7,5,6,7,7,1,7,female,yes_scholship,no_job
138,3,3,3,1,7,7,7,7,7,6,6,6,4,4,5,5,6,4,6,7,7,1,7,male,yes_scholship,yes_job
139,6,3,2,6,6,6,6,6,6,5,5,6,5,5,2,3,6,3,5,5,7,3,6,female,yes_scholship,no_job
140,7,1,7,6,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,1,7,female,yes_scholship,no_job
141,6,3,6,6,6,6,6,6,6,5,5,6,4,4,6,6,6,5,5,4,7,1,4,female,yes_scholship,yes_job
142,5,2,4,5,7,7,7,7,6,5,6,6,4,4,6,7,7,7,6,7,7,1,7,female,yes_scholship,no_job
143,7,1,7,7,6,6,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,1,7,male,no_scholship,yes_job
144,7,2,6,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,4,7,3,7,female,yes_scholship,yes_job
145,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,male,no_scholship,no_job
146,7,6,6,7,6,5,7,6,6,6,5,6,7,7,7,7,7,6,6,7,7,1,7,female,no_scholship,yes_job
147,7,1,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,6,female,no_scholship,yes_job
148,7,1,7,5,7,7,7,7,4,5,5,5,6,5,7,7,7,7,7,7,7,1,7,female,yes_scholship,yes_job
149,6,1,7,7,6,7,7,7,6,5,6,4,6,6,5,6,7,7,7,7,7,1,7,male,no_scholship,no_job
150,6,3,4,5,7,6,7,7,5,5,5,5,5,5,4,4,6,6,6,7,7,1,6,female,yes_scholship,yes_job
151,7,6,7,5,6,4,7,6,7,7,7,7,5,5,5,6,7,7,6,7,7,1,7,male,yes_scholship,no_job
152,7,1,7,4,5,7,7,6,5,6,6,5,7,7,7,7,7,7,7,7,7,1,7,female,no_scholship,yes_job
153,7,1,7,7,7,7,7,7,7,5,7,6,7,7,7,7,7,7,7,7,7,1,7,female,yes_scholship,yes_job
154,6,1,6,4,5,6,6,5,6,6,6,7,4,6,5,5,7,7,7,7,7,1,6,female,no_scholship,yes_job
155,5,2,6,7,5,7,6,6,6,6,6,6,5,5,4,6,7,7,6,7,7,1,7,female,yes_scholship,yes_job
156,7,4,7,6,6,6,6,6,7,6,6,7,5,5,6,6,7,6,6,7,7,1,7,female,yes_scholship,no_job
157,2,3,4,7,5,5,6,5,5,5,4,5,5,5,3,4,7,5,6,6,7,1,7,female,no_scholship,yes_job
158,5,4,4,4,4,5,2,4,4,4,4,4,4,4,4,4,6,5,4,7,7,1,7,female,yes_scholship,no_job
159,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,female,yes_scholship,yes_job
160,6,3,6,4,7,7,7,7,6,6,6,7,5,4,6,6,7,7,7,7,6,1,7,male,yes_scholship,yes_job
161,3,4,5,1,4,4,6,4,5,4,4,4,2,2,4,3,4,3,4,3,4,3,4,female,yes_scholship,no_job
162,7,1,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,1,7,female,no_scholship,no_job
163,4,4,4,5,4,5,5,5,6,6,6,6,5,5,5,5,6,5,6,7,7,1,7,male,no_scholship,yes_job
164,5,5,4,5,7,6,6,7,6,6,6,6,6,6,6,6,7,7,6,5,7,1,7,female,yes_scholship,no_job
165,6,3,6,7,7,6,6,6,6,5,7,3,7,7,5,6,7,7,6,7,7,1,7,female,yes_scholship,no_job
166,7,1,7,7,5,7,7,7,6,6,6,6,6,6,6,6,7,7,7,7,7,1,7,female,yes_scholship,no_job
167,5,6,6,5,6,6,6,6,6,6,6,6,4,5,5,6,7,6,7,7,7,1,6,female,yes_scholship,yes_job
168,6,1,1,7,6,7,7,7,7,6,6,7,4,7,4,7,7,7,7,7,7,1,7,female,no_scholship,no_job
169,6,3,5,2,7,5,6,6,5,5,4,5,7,5,4,6,6,6,6,7,7,1,6,male,no_scholship,no_job
170,7,1,7,7,7,7,7,7,7,6,6,7,7,7,5,6,7,7,7,7,7,1,7,female,yes_scholship,yes_job
171,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,5,4,6,female,no_scholship,yes_job
172,2,4,4,2,6,7,7,6,6,6,6,6,3,3,3,5,7,6,7,7,7,1,6,female,yes_scholship,yes_job
173,6,1,5,6,5,4,5,6,5,5,5,5,6,6,5,5,6,5,6,7,6,1,5,female,no_scholship,no_job
174,5,2,4,4,6,6,6,6,6,6,6,6,4,4,4,6,4,4,5,4,4,4,4,female,no_scholship,no_job
175,7,1,7,7,7,5,7,7,6,6,6,6,7,7,6,7,7,7,7,7,7,1,7,female,yes_scholship,no_job
176,5,1,6,4,4,5,5,5,4,4,4,4,4,4,4,4,6,6,5,6,6,3,6,male,yes_scholship,yes_job
177,4,3,6,6,6,6,7,7,7,7,7,7,5,5,4,6,7,7,7,7,7,1,7,female,yes_scholship,no_job
178,5,1,5,4,7,7,7,7,6,5,2,7,4,3,5,7,7,5,7,6,7,1,7,female,yes_scholship,no_job
179,4,4,4,4,6,6,6,6,6,6,5,6,4,5,6,4,6,5,7,7,6,1,4,male,yes_scholship,no_job
180,7,1,7,6,7,5,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,1,7,female,yes_scholship,no_job
181,5,1,1,5,6,7,7,7,7,5,5,5,5,5,3,5,7,7,6,7,7,1,7,female,yes_scholship,no_job
